"Identifier","Personal title","First name","Middle name","Last name","Company","Account number","Tax number","Register number","Country","State","City","Zip","Address","Web","Email (1)","Email (2)","Phone (1)","Phone (2)","Fax","Mobile (1)","Mobile (2)","Note","Day of birth","RemindDay","Status"
"","","Harriet","","Hösulateson","","","","","","","Rheinsberg","16831","Richard-Wagner-Strasse 180","","ulika63@outloock.de","","03439/747233892","","","","","","","-1",""
"","","Matthias","","Schwarz","","","","","","","Schlettau","09487","Poststrasse 50","","matthias.schwarz55@yahoo.de","","06553/781894","","","","","","","-1",""
"","","Frithjof","","Züsibodostein","","","","","","","Emmerich am Rhein","46446","Fichtenweg 258","","frithjof.zuesibodostein61@gmx.de","","02446/473714867","","","","","","","-1",""
"","","Marcella","","Herrmann","","","","","","","Köln","50667","Schubertstrasse 140","","marcella.herrmann71@t-online.de","","054261/9641223","","","","","","","-1",""
"","","Galina","","Modudihein","","","","","","","Erfurt","99084","Ahornweg 89","","atiza59@email.com","","0986887/74627641","","","","","","","-1",""
"","","Albert","","Vösufostein","","","","","","","Lohr a.Main","97816","Asternweg 157","","eluku81@test.de","","0431947/1857644","","","","","","","-1",""
"","","Celal","","Vövalau","","","","","","","Verden (Aller)","27283","Eichendorffstrasse 284","","celal.voevalau69@t-online.de","","0391/67135843","","","","","","","-1",""
"","","Burkhard","","Nudegrade","","","","","","","Papenburg","26871","Nelkenstrasse 217","","burkhard.nudegrade63@gmx.de","","013828/9242812","","","","","","","-1",""
"","","Elif","","Werner","","","","","","","Neustadt (Hessen)","35279","Heideweg 5","","elif.werner90@yahoo.de","","0433/528999275","","","","","","","-1",""
"","","Karolina","","Vutusede","","","","","","","Westerburg","56457","Albert-Schweitzer-Strasse 67a","","etima80@yahoo.de","","077764/371345","","","","","","","-1",""
"","","Florentine","","Latamodemeiner","","","","","","","Delitzsch","04509","Erlenstrasse 205","","itemi84@email.com","","0741/75699","","","","","","","-1",""
"","","Hulda","","Sivifuson","","","","","","","Norderney","26548","Tulpenstrasse 224","","otozo85@gmail.de","","0285484/524592289","","","","","","","-1",""
"","","Kunigunda","","Rütolauhein","","","","","","","Traben-Trarbach","56841","Lerchenweg 86","","otimi70@test.de","","0563359/144679227","","","","","","","-1",""
"","","Clara","","Fevuvorehein","","","","","","","Könnern","06420","Lilienweg 107","","ulika91@email.com","","0414/9625239","","","","","","","-1",""
"","","Gero","","Föridahein","","","","","","","Herzberg (Elster)","04916","Berliner Strasse 162","","ivera91@email.com","","066271/256935596","","","","","","","-1",""
"","","Michel","","Kusimaustein","","","","","","","Eckernförde","24340","Buchenweg 149","","itumi97@t-online.de","","069399/46574363","","","","","","","-1",""
"","","Birte","","Kasiwattemüller","","","","","","","Hornbach","66500","Talstrasse 165","","ewifu92@yahoo.de","","0286/3431349","","","","","","","-1",""
"","","Harriet","","Volafere","","","","","","","Spaichingen","78549","Berliner Strasse 247","","adupe98@gmail.de","","0573362/191213935","","","","","","","-1",""
"","","Simona","","Dotimodehein","","","","","","","Dornhan","72175","Marktstrasse 172","","edepa92@email.com","","0265/82364","","","","","","","-1",""
"","","Hans-Herbert","","Jawefuweiner","","","","","","","Lörrach","79539","Heinrich-Heine-Strasse 136","","utimo65@email.com","","0479/613943","","","","","","","-1",""
"","","Miroslav","","Zövoflodehein","","","","","","","Florstadt","61197","Friedhofstrasse 63d","","otiza65@surfnet.de","","024178/756673","","","","","","","-1",""
"","","Torsten","","Kasadastein","","","","","","","Laichingen","89150","Karlstrasse 48b","","torsten.kasadastein73@surfnet.de","","04226/49376364","","","","","","","-1",""
"","","Kurt","","Bavawatte","","","","","","","Kirn","55606","Mörikestrasse 100","","itizu71@gmx.de","","01753/26843","","","","","","","-1",""
"","","Antonia","","Pidagedemüller","","","","","","","Bredstedt","25821","Mörikestrasse 163","","antonia.pidagedemueller56@email.com","","08359/13685744","","","","","","","-1",""
"","","Nora","","Titeferestein","","","","","","","Schwäbisch Gmünd","73525","Schützenstrasse 248","","etoma91@surfnet.de","","0179/69315","","","","","","","-1",""
"","","Mattias","","Pululauhein","","","","","","","Borken","46325","Kirchplatz 18","","mattias.pululauhein59@gmail.com","","0925/42863736","","","","","","","-1",""
"","","Mary","","Pütusedemüller","","","","","","","Wasserburg a.Inn","83512","Fichtenstrasse 68","","mary.puetusedemueller85@email.com","","0799/27399","","","","","","","-1",""
"","","Alban","","Lehmann","","","","","","","Todtnau","79674","Jahnstrasse 133","","oloka69@surfnet.de","","0447932/718867357","","","","","","","-1",""
"","","Alexa","","Schmitt","","","","","","","Landsberg","06188","Rosenstrasse 115","","alexa.schmitt89@yahoo.de","","0737/25728","","","","","","","-1",""
"","","Hellmut","","Darilatemüller","","","","","","","Ochtrup","48607","Kurze Strasse 158","","etuzo88@gmx.de","","0387/1947667","","","","","","","-1",""
"","","Wibke","","Susugrodehein","","","","","","","Bad Salzdetfurth","31162","Marktstrasse 162","","wibke.susugrodehein63@t-online.de","","0442/224228","","","","","","","-1",""
"","","Peggy","","Bauer","","","","","","","Brakel","33034","Im Winkel 5","","isetu91@gmail.com","","016168/234341","","","","","","","-1",""
"","","Annie","","Watebemeiner","","","","","","","Neukalen","17154","Am Anger 166a","","edepi80@gmail.com","","077626/663547","","","","","","","-1",""
"","","Simona","","Meier","","","","","","","Schwarzenberg/Erzgeb.","08340","Schwalbenweg 137","","edopu61@test.de","","098473/451734628","","","","","","","-1",""
"","","Margret","","Kiwilateson","","","","","","","Zschopau","09405","Buchenstrasse 270","","margret.kiwilateson89@gmail.de","","02522/612856","","","","","","","-1",""
"","","Hanno","","Walugrade","","","","","","","Ebersbach-Neugersdorf","02730","Hochstrasse 157","","usete60@surfnet.de","","0328/61818","","","","","","","-1",""
"","","Margitta","","Söselauhein","","","","","","","Neuhaus am Rennweg","98724","Wacholderweg 292","","margitta.soeselauhein85@email.com","","0272/1857826","","","","","","","-1",""
"","","Wolf-Rüdiger","","Fötifledehein","","","","","","","Rinteln","31737","Südstrasse 240b","","esatu98@gmail.com","","0694623/129954926","","","","","","","-1",""
"","","Karlfried","","Hüribumeiner","","","","","","","Wettin-Löbejün","06193","Buchenweg 49","","atuzu60@t-online.de","","0624/6262763","","","","","","","-1",""
"","","Friedhilde","","Futidiweiner","","","","","","","Rehna","19217","Ringstrasse 275","","atomu91@gmx.de","","09361/611715","","","","","","","-1",""
"","","Katerina","","Braun","","","","","","","Hof","95028","Ulmenweg 180","","orili58@outloock.de","","0381/77852486","","","","","","","-1",""
"","","Beata","","Nätevoremüller","","","","","","","Pfaffenhofen a.d.Ilm","85276","Bahnhofstrasse 149","","beata.naetevoremueller97@gmx.de","","051954/291143385","","","","","","","-1",""
"","","Diedrich","","Pudedason","","","","","","","Unna","59423","Dahlienweg 275b","","asitu85@t-online.de","","0996467/6821687","","","","","","","-1",""
"","","Hans-Joachim","","Kuwischatt","","","","","","","Pulheim","50259","Nordstrasse 28","","hans-joachim.kuwischatt91@gmail.de","","0783691/531183814","","","","","","","-1",""
"","","Riza","","Färedihein","","","","","","","Grafenwöhr","92655","Am Hang 214b","","uwafu68@gmail.de","","0413/661821471","","","","","","","-1",""
"","","John","","Cöwoflode","","","","","","","Buckow (Märkische Schweiz)","15377","Nelkenstrasse 185","","john.coewoflode92@gmx.de","","091289/827591","","","","","","","-1",""
"","","Jochem","","Moralau","","","","","","","Zeven","27404","Nelkenstrasse 132","","jochem.moralau87@outloock.de","","08227/315275481","","","","","","","-1",""
"","","Hans-Gerd","","Wisusedemüller","","","","","","","Bad Rodach","96476","Geschwister-Scholl-Strasse 263","","hans-gerd.wisusedemueller78@outloock.de","","099864/17592","","","","","","","-1",""
"","","Reiner","","Liwifledemüller","","","","","","","Pritzwalk","16928","Gerhart-Hauptmann-Strasse 226","","utize62@gmail.com","","0576/331983965","","","","","","","-1",""
"","","Elfi","","Schmidt","","","","","","","Ebersbach-Neugersdorf","02730","Kurze Strasse 27","","elfi.schmidt61@gmx.de","","0834555/67325","","","","","","","-1",""
"","","Leni","","Neumann","","","","","","","Billerbeck","48727","Kirchstrasse 87a","","leni.neumann81@gmx.de","","01174/3859749","","","","","","","-1",""
"","","Hans","","Kivudu","","","","","","","Hachenburg","57627","Erlenstrasse 286","","hans.kivudu99@test.de","","02723/28244","","","","","","","-1",""
"","","Gislinde","","Müller","","","","","","","Emmendingen","79312","Schulstrasse 172b","","asita92@gmail.de","","0166893/633339","","","","","","","-1",""
"","","Walburga","","Budobedehein","","","","","","","Titisee-Neustadt","79822","Mühlenstrasse 190","","walburga.budobedehein55@yahoo.de","","0347/653811","","","","","","","-1",""
"","","Anastasia","","Lehmann","","","","","","","Ilsenburg (Harz)","38871","Lerchenstrasse 217","","isiti57@gmail.de","","0155/65683852","","","","","","","-1",""
"","","Sibylla","","Lowulode","","","","","","","Barth","18356","Friedenstrasse 17","","sibylla.lowulode90@t-online.de","","07127/58857","","","","","","","-1",""
"","","Alban","","Rewamode","","","","","","","Pforzheim","75175","Meisenweg 277","","alban.rewamode65@gmx.de","","02286/13859735","","","","","","","-1",""
"","","Sylvio","","König","","","","","","","Rosenthal","35119","Bergstrasse 9","","sylvio.koenig84@surfnet.de","","0347/59977","","","","","","","-1",""
"","","Evelin","","Schneider","","","","","","","Neuerburg","54673","Hauptstrasse 36","","ovura86@gmail.de","","0421/867919972","","","","","","","-1",""
"","","Linda","","Wituwade","","","","","","","Otterndorf","21762","Schwalbenweg 95","","linda.wituwade72@yahoo.de","","09487/623315","","","","","","","-1",""
"","","Siglinde","","Jodebodoson","","","","","","","Karben","61184","Tulpenweg 69b","","atimu98@email.com","","07941/869414","","","","","","","-1",""
"","","Erwin","","Pelasegemeiner","","","","","","","Ludwigslust","19288","Robert-Bosch-Strasse 168","","atozi68@yahoo.de","","06216/334576","","","","","","","-1",""
"","","Klaus-Michael","","Lälagrodeweiner","","","","","","","Schwedt/Oder","16303","Danziger Strasse 258","","irolu80@email.com","","0727/3145285","","","","","","","-1",""
"","","Sergei","","Fischer","","","","","","","Blaustein","89134","Kapellenstrasse 134","","idepi71@email.com","","0521/47159452","","","","","","","-1",""
"","","Filippo","","Zutobu","","","","","","","Gnoien","17179","Tulpenweg 61","","irale62@outloock.de","","0531572/7731837","","","","","","","-1",""
"","","Dittmar","","Vüdesege","","","","","","","Joachimsthal","16247","Daimlerstrasse 96","","itimi68@gmail.com","","048948/91697","","","","","","","-1",""
"","","Elfriede","","Tiwubodomeiner","","","","","","","Lößnitz","08294","Tulpenstrasse 69","","elfriede.tiwubodomeiner93@gmail.com","","0562/537293517","","","","","","","-1",""
"","","Mechthild","","Süsalate","","","","","","","Bruchköbel","63486","Uhlandstrasse 252","","ovari72@gmx.de","","0419751/8575983","","","","","","","-1",""
"","","Hans-Henning","","Dulegrodeson","","","","","","","Hockenheim","68766","Ulmenstrasse 159","","awefa88@t-online.de","","014564/5889132","","","","","","","-1",""
"","","Constantin","","Käruda","","","","","","","Gröditz","01609","Rosenweg 288","","uwifo61@outloock.de","","0466858/61667","","","","","","","-1",""
"","","Hinrich","","Cosumodemüller","","","","","","","Nidda","63667","Poststrasse 243","","hinrich.cosumodemueller60@surfnet.de","","0485/4269597","","","","","","","-1",""
"","","Frank-Michael","","Zedisege","","","","","","","Steinau an der Straße","36396","Meisenweg 287","","frank-michael.zedisege97@test.de","","0455461/241265696","","","","","","","-1",""
"","","Louise","","Nirudo","","","","","","","Bad Wünnenberg","33181","Schwarzer Weg 276","","etime83@yahoo.de","","0345525/669984","","","","","","","-1",""
"","","Alwine","","Favagrade","","","","","","","Dorsten","46284","Pestalozzistrasse 280","","odopa97@email.com","","0635/11672","","","","","","","-1",""
"","","Philomena","","Lange","","","","","","","Fürth","90762","Brückenstrasse 275","","aloka61@outloock.de","","0982593/67274","","","","","","","-1",""
"","","Yusuf","","Krause","","","","","","","Wolfsburg","38440","Kreuzweg 131c","","yusuf.krause83@email.com","","0512644/26652","","","","","","","-1",""
"","","Charles","","Norogedemeiner","","","","","","","Weilheim i.OB","82362","Nelkenweg 64","","charles.norogedemeiner95@outloock.de","","08858/2571531","","","","","","","-1",""
"","","Hannes","","Bitivare","","","","","","","Gommern","39245","Marienstrasse 89","","ewufi71@t-online.de","","0493/52568749","","","","","","","-1",""
"","","Evangelia","","Madibedehein","","","","","","","Worms","67547","Nordstrasse 281","","eleki62@gmail.de","","0184/45288129","","","","","","","-1",""
"","","Sandor","","Becker","","","","","","","Monheim","86653","Lilienweg 268b","","edopu83@test.de","","0689/97613557","","","","","","","-1",""
"","","Ilonka","","Diwivorestein","","","","","","","Pressath","92690","Burgweg 155b","","ilonka.diwivorestein71@yahoo.de","","01784/5836658","","","","","","","-1",""
"","","Wulf","","Vosischattson","","","","","","","Minden","32423","Kastanienweg 17","","wulf.vosischattson69@yahoo.de","","0191799/85729513","","","","","","","-1",""
"","","Erik","","Vorevodeson","","","","","","","Vreden","48691","Birkenweg 200","","erik.vorevodeson80@gmail.de","","082227/4942977","","","","","","","-1",""
"","","Edeltraut","","Zedudustein","","","","","","","Ebersbach an der Fils","73061","Friedrich-Ebert-Strasse 210","","isotu75@t-online.de","","02753/8355778","","","","","","","-1",""
"","","Waldemar","","Wadahede","","","","","","","Herrnhut","02747","Buchenweg 12","","waldemar.wadahede62@yahoo.de","","0592/435259","","","","","","","-1",""
"","","Heinz","","Tiwimatt","","","","","","","Zschopau","09405","Neue Strasse 21","","orolo83@gmail.com","","0728/19334","","","","","","","-1",""
"","","Hans-Peter","","Juseplauweiner","","","","","","","Freyburg (Unstrut)","06632","Fliederweg 99","","urali58@gmail.com","","0718/1877935","","","","","","","-1",""
"","","Annika","","Däsugedemüller","","","","","","","Bodenwerder, Münchhausenstadt","37619","Ulmenstrasse 137","","idepo89@gmail.de","","0937445/54858627","","","","","","","-1",""
"","","Cornelia","","Civulate","","","","","","","Garbsen","30827","Neuer Weg 262","","cornelia.civulate97@yahoo.de","","065879/478494159","","","","","","","-1",""
"","","Athanasios","","Cütelodeweiner","","","","","","","Erfurt","99084","Frühlingstrasse 299","","athanasios.cuetelodeweiner58@gmail.de","","011574/759911","","","","","","","-1",""
"","","Gerard","","Fötisedeweiner","","","","","","","Rodgau","63110","Danziger Strasse 170","","gerard.foetisedeweiner54@test.de","","0811/31917819","","","","","","","-1",""
"","","Lili","","Coliwedemeiner","","","","","","","Drolshagen","57489","Richard-Wagner-Strasse 130","","lili.coliwedemeiner64@yahoo.de","","0947/51469191","","","","","","","-1",""
"","","Leonid","","Motofustein","","","","","","","Bad Friedrichshall","74177","Wacholderweg 93","","etema55@gmail.de","","046514/538514768","","","","","","","-1",""
"","","Gülten","","Jesufledeweiner","","","","","","","Celle","29221","Sonnenstrasse 255","","avure67@outloock.de","","0278291/11439321","","","","","","","-1",""
"","","Bozena","","Mayer","","","","","","","Günzburg","89312","Brückenstrasse 212","","olika93@yahoo.de","","0673622/474264693","","","","","","","-1",""
"","","Brunhild","","Lüvisademüller","","","","","","","Baiersdorf","91083","Beethovenstrasse 59","","brunhild.luevisademueller74@outloock.de","","09185/3162324","","","","","","","-1",""
"","","Sigfried","","Schröder","","","","","","","Kirtorf","36320","Kiefernweg 264","","owofu65@yahoo.de","","09141/921475","","","","","","","-1",""
"","","Arthur","","Tuvohede","","","","","","","Zehdenick","16792","Feldstrasse 176c","","otamo90@yahoo.de","","019199/8188544","","","","","","","-1",""
"","","Annekatrin","","Tidogateson","","","","","","","Oranienbaum-Wörlitz","06785","Jahnstrasse 145c","","atema90@email.com","","0648/197614912","","","","","","","-1",""
"","","Roswita","","Meier","","","","","","","Veringenstadt","72519","Mörikestrasse 271","","elaku60@gmx.de","","0441682/76264217","","","","","","","-1",""
"","","Rotraut","","Culihedeweiner","","","","","","","Mücheln (Geiseltal)","06249","Poststrasse 277","","esoto56@gmx.de","","021394/4317268","","","","","","","-1",""
"","","Gülay","","Gusuplauhein","","","","","","","Trostberg","83308","Fliederweg 114","","guelay.gusuplauhein73@email.com","","0675977/189974938","","","","","","","-1",""
"","","Dorothea","","Mosobu","","","","","","","Rheda-Wiedenbrück","33378","Mühlgasse 156","","dorothea.mosobu67@outloock.de","","0747/7121865","","","","","","","-1",""
"","","Alena","","Towusedeweiner","","","","","","","Grafing b.München","85567","Kirchstrasse 5","","owifu77@surfnet.de","","0145376/31575","","","","","","","-1",""
"","","Rolf-Dieter","","Färufu","","","","","","","Ranis","07389","Heckenweg 152","","rolf-dieter.faerufu95@gmail.de","","036276/889529349","","","","","","","-1",""
"","","Benjamin","","Veluba","","","","","","","Neckargemünd","69151","Mittelstrasse 119","","benjamin.veluba75@email.com","","028591/53397885","","","","","","","-1",""
"","","Annita","","Gawiwede","","","","","","","Nieder-Olm","55268","Markt 223","","asetu89@surfnet.de","","02311/8143157","","","","","","","-1",""
"","","Paulo","","Birolode","","","","","","","Nabburg","92507","Luisenstrasse 176","","urilu68@outloock.de","","0323792/669235","","","","","","","-1",""
"","","Heidrun","","Nilagateweiner","","","","","","","Schömberg","72355","Lärchenweg 246","","ewefo60@gmail.com","","0319/869375","","","","","","","-1",""
"","","Käthi","","Zilada","","","","","","","Dietzenbach","63128","Ringstrasse 169d","","kaethi.zilada63@gmail.com","","0313784/5132338","","","","","","","-1",""
"","","Antonio","","Cowedimeiner","","","","","","","Elterlein","09481","Neuer Weg 238","","antonio.cowedimeiner65@gmail.com","","0781/86974142","","","","","","","-1",""
"","","Mattias","","Tuwiwede","","","","","","","Rüdesheim am Rhein","65385","Kastanienweg 119","","uveru67@outloock.de","","0563746/72372","","","","","","","-1",""
"","","Heinz-Otto","","Besobi","","","","","","","Hilpoltstein","91161","Veilchenweg 271","","heinz-otto.besobi69@yahoo.de","","0181869/38383","","","","","","","-1",""
"","","Meta","","Mütodu","","","","","","","Ostfildern","73760","Bismarckstrasse 96","","meta.muetodu58@gmx.de","","02777/78976","","","","","","","-1",""
"","","Lilija","","Tasusedehein","","","","","","","Obernburg a.Main","63785","Gartenstrasse 207","","lilija.tasusedehein91@gmail.com","","0679/3688246","","","","","","","-1",""
"","","Hans-Gerhard","","Gövavoreson","","","","","","","Trossingen","78647","Ahornweg 26","","itemo99@yahoo.de","","092846/4223625","","","","","","","-1",""
"","","Angelo","","Hofmann","","","","","","","Taucha","04425","Kolpingstrasse 59a","","alaka57@t-online.de","","088181/442416256","","","","","","","-1",""
"","","Ingetraud","","Letefledeweiner","","","","","","","Meschede, Kreis- und  Hochschulstadt","59872","Römerstrasse 88","","ingetraud.letefledeweiner75@gmx.de","","0678/51332949","","","","","","","-1",""
"","","Bert","","Kälilau","","","","","","","Bad Münder am Deister","31848","Starenweg 186","","bert.kaelilau92@t-online.de","","098366/5551716","","","","","","","-1",""
"","","Tilman","","Kewufostein","","","","","","","Schwäbisch Gmünd","73525","Brückenstrasse 51","","tilman.kewufostein62@surfnet.de","","0237/85614","","","","","","","-1",""
"","","Luitgard","","Moleschatt","","","","","","","Eschenbach i.d.OPf.","92676","Siemensstrasse 68","","etime99@outloock.de","","09287/93296713","","","","","","","-1",""
"","","Carmelo","","Päsagate","","","","","","","Horb am Neckar","72160","Lärchenweg 215","","carmelo.paesagate90@test.de","","053351/627584244","","","","","","","-1",""
"","","Ingried","","Huvowattehein","","","","","","","Nürtingen","72622","Marktplatz 237","","asoti80@test.de","","061273/6234619","","","","","","","-1",""
"","","Katalin","","Jätafi","","","","","","","Varel","26316","Bergweg 131","","ovuro76@test.de","","096594/41372278","","","","","","","-1",""
"","","Elma","","Buravarestein","","","","","","","Ilsenburg (Harz)","38871","Geschwister-Scholl-Strasse 185c","","elma.buravarestein63@gmail.de","","048756/8817423","","","","","","","-1",""
"","","Sigfried","","Jidafo","","","","","","","Solms","35606","Forstweg 139","","sigfried.jidafo71@gmail.de","","057757/169948863","","","","","","","-1",""
"","","Jörg-Peter","","Wagner","","","","","","","Meerane","08393","Mühlweg 191","","iseti72@t-online.de","","0543/39917654","","","","","","","-1",""
"","","Maren","","Basofereweiner","","","","","","","Haldensleben","39340","Am Sportplatz 109","","maren.basofereweiner65@surfnet.de","","075546/3331375","","","","","","","-1",""
"","","Drago","","Katevodemüller","","","","","","","Weinsberg","74189","Lindenweg 211","","ewofe95@surfnet.de","","04857/66338871","","","","","","","-1",""
"","","Alwina","","Nelewademüller","","","","","","","Willebadessen","34439","Ahornweg 275","","alwina.nelewademueller94@gmx.de","","0388295/898355","","","","","","","-1",""
"","","Milena","","Hatogradestein","","","","","","","Sachsenhagen","31553","Lessingstrasse 160d","","itame55@email.com","","0985/89683846","","","","","","","-1",""
"","","Adina","","Wagner","","","","","","","Bad Dürrenberg","06231","Kapellenweg 83","","adina.wagner96@t-online.de","","09359/3261829","","","","","","","-1",""
"","","Hannah","","Nurobason","","","","","","","Herzogenrath","52134","Veilchenweg 52","","hannah.nurobason56@surfnet.de","","068836/84587","","","","","","","-1",""
"","","Stella","","Püdograde","","","","","","","Elze","31008","Brunnenstrasse 266","","erala73@gmx.de","","091723/945293","","","","","","","-1",""
"","","Ottfried","","Lirimodehein","","","","","","","Geislingen","72351","Am Friedhof 261","","ottfried.lirimodehein78@test.de","","013241/17694133","","","","","","","-1",""
"","","Igor","","Ruluwadehein","","","","","","","Mansfeld","06343","Tulpenstrasse 233","","utemu91@gmail.com","","0243813/458826","","","","","","","-1",""
